method,seed,run_id,dataset_manifest_hash,config_hash,code_commit,checkpoint_initial_path,checkpoint_periodic_paths,checkpoint_final_path,checkpoint_final_exists,checkpoint_final_load_pass,native_writer_pass,evaluator_model_derived,evaluation_split,optimizer_updates,training_wall_clock_seconds,status,failure_reason
hts_full,0,synthetic_full_v9_hts_full_seed0,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,dd7f7dc400862ae4,e3f02248693a79dc8b0ebd62c93683888ddaccfe,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_0/checkpoints/initial.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_0/checkpoints/step_1.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_0/checkpoints/step_100.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_0/checkpoints/step_200.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_0/checkpoints/final.npz,True,True,True,True,test,250,55.344,pass,
hts_full,1,synthetic_full_v9_hts_full_seed1,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,04fc0c622f88b0da,e3f02248693a79dc8b0ebd62c93683888ddaccfe,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_1/checkpoints/initial.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_1/checkpoints/step_1.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_1/checkpoints/step_100.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_1/checkpoints/step_200.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_1/checkpoints/final.npz,True,True,True,True,test,250,37.293,pass,
hts_full,2,synthetic_full_v9_hts_full_seed2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,c3e82925edf6d44e,e3f02248693a79dc8b0ebd62c93683888ddaccfe,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_2/checkpoints/initial.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_2/checkpoints/step_1.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_2/checkpoints/step_100.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_2/checkpoints/step_200.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_2/checkpoints/final.npz,True,True,True,True,test,250,37.293,pass,
hts_full,3,synthetic_full_v9_hts_full_seed3,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,83f84b03a97c4dfa,e3f02248693a79dc8b0ebd62c93683888ddaccfe,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_3/checkpoints/initial.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_3/checkpoints/step_1.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_3/checkpoints/step_100.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_3/checkpoints/step_200.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_3/checkpoints/final.npz,True,True,True,True,test,250,36.808,pass,
hts_full,4,synthetic_full_v9_hts_full_seed4,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,9e2c1a7bb6317048,e3f02248693a79dc8b0ebd62c93683888ddaccfe,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_4/checkpoints/initial.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_4/checkpoints/step_1.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_4/checkpoints/step_100.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_4/checkpoints/step_200.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/hts_full/seed_4/checkpoints/final.npz,True,True,True,True,test,250,36.47,pass,
flat_sae,0,synthetic_full_v9_flat_sae_seed0,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,908c068d77ab0072,e3f02248693a79dc8b0ebd62c93683888ddaccfe,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_0/checkpoints/initial.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_0/checkpoints/step_1.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_0/checkpoints/step_100.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_0/checkpoints/step_200.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_0/checkpoints/final.npz,True,True,True,True,test,250,28.793,pass,
flat_sae,1,synthetic_full_v9_flat_sae_seed1,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,03a0bb47230a22f5,e3f02248693a79dc8b0ebd62c93683888ddaccfe,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_1/checkpoints/initial.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_1/checkpoints/step_1.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_1/checkpoints/step_100.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_1/checkpoints/step_200.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_1/checkpoints/final.npz,True,True,True,True,test,250,28.728,pass,
flat_sae,2,synthetic_full_v9_flat_sae_seed2,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,282615bff3181ede,e3f02248693a79dc8b0ebd62c93683888ddaccfe,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_2/checkpoints/initial.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_2/checkpoints/step_1.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_2/checkpoints/step_100.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_2/checkpoints/step_200.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_2/checkpoints/final.npz,True,True,True,True,test,250,28.084,pass,
flat_sae,3,synthetic_full_v9_flat_sae_seed3,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,dac6e72125f1d7ba,e3f02248693a79dc8b0ebd62c93683888ddaccfe,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_3/checkpoints/initial.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_3/checkpoints/step_1.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_3/checkpoints/step_100.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_3/checkpoints/step_200.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_3/checkpoints/final.npz,True,True,True,True,test,250,29.071,pass,
flat_sae,4,synthetic_full_v9_flat_sae_seed4,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,fedc49b7b878bf31,e3f02248693a79dc8b0ebd62c93683888ddaccfe,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_4/checkpoints/initial.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_4/checkpoints/step_1.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_4/checkpoints/step_100.npz;/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_4/checkpoints/step_200.npz,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_full_v9/runs/flat_sae/seed_4/checkpoints/final.npz,True,True,True,True,test,250,27.719,pass,
