game,seed,logdir,run_completed,is_partial_run,metric_source_file,metric_source_type,metric_name,raw_step_key,raw_step_value,x_axis_name,x_axis_value,agent_actions,environment_steps,frames,action_repeat,eval_return_mean,eval_return_std,eval_return_min,eval_return_max,eval_episodes,train_return_mean_if_present,timestamp,wall_clock_time_if_present,raw_json_excerpt_or_compact_record,parse_status,parse_warning
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,844,frames,844.0,211.0,844.0,844.0,4,2.0,,2.0,2.0,1,,,,"{""episode/length"": 211.0, ""episode/score"": 2.0, ""step"": 844}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,1756,frames,1756.0,439.0,1756.0,1756.0,4,2.0,,2.0,2.0,1,,,,"{""episode/length"": 228.0, ""episode/score"": 2.0, ""step"": 1756}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,2984,frames,2984.0,746.0,2984.0,2984.0,4,4.0,,4.0,4.0,1,,,,"{""episode/length"": 307.0, ""episode/score"": 4.0, ""step"": 2984}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,3516,frames,3516.0,879.0,3516.0,3516.0,4,0.0,,0.0,0.0,1,,,,"{""episode/length"": 133.0, ""episode/score"": 0.0, ""step"": 3516}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,4296,frames,4296.0,1074.0,4296.0,4296.0,4,2.0,,2.0,2.0,1,,,,"{""episode/length"": 195.0, ""episode/score"": 2.0, ""step"": 4296}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,5580,frames,5580.0,1395.0,5580.0,5580.0,4,4.0,,4.0,4.0,1,,,,"{""episode/length"": 321.0, ""episode/score"": 4.0, ""step"": 5580}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,6444,frames,6444.0,1611.0,6444.0,6444.0,4,2.0,,2.0,2.0,1,,,,"{""episode/length"": 216.0, ""episode/score"": 2.0, ""step"": 6444}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,6980,frames,6980.0,1745.0,6980.0,6980.0,4,0.0,,0.0,0.0,1,,,,"{""episode/length"": 134.0, ""episode/score"": 0.0, ""step"": 6980}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,8100,frames,8100.0,2025.0,8100.0,8100.0,4,4.0,,4.0,4.0,1,,,,"{""episode/length"": 280.0, ""episode/score"": 4.0, ""step"": 8100}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,9112,frames,9112.0,2278.0,9112.0,9112.0,4,2.0,,2.0,2.0,1,,,,"{""episode/length"": 253.0, ""episode/score"": 2.0, ""step"": 9112}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,9656,frames,9656.0,2414.0,9656.0,9656.0,4,0.0,,0.0,0.0,1,,,,"{""episode/length"": 136.0, ""episode/score"": 0.0, ""step"": 9656}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,10748,frames,10748.0,2687.0,10748.0,10748.0,4,3.0,,3.0,3.0,1,,,,"{""episode/length"": 273.0, ""episode/score"": 3.0, ""step"": 10748}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,11604,frames,11604.0,2901.0,11604.0,11604.0,4,2.0,,2.0,2.0,1,,,,"{""episode/length"": 214.0, ""episode/score"": 2.0, ""step"": 11604}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,12196,frames,12196.0,3049.0,12196.0,12196.0,4,0.0,,0.0,0.0,1,,,,"{""episode/length"": 148.0, ""episode/score"": 0.0, ""step"": 12196}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,13236,frames,13236.0,3309.0,13236.0,13236.0,4,3.0,,3.0,3.0,1,,,,"{""episode/length"": 260.0, ""episode/score"": 3.0, ""step"": 13236}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,14344,frames,14344.0,3586.0,14344.0,14344.0,4,3.0,,3.0,3.0,1,,,,"{""episode/length"": 277.0, ""episode/score"": 3.0, ""step"": 14344}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,15064,frames,15064.0,3766.0,15064.0,15064.0,4,1.0,,1.0,1.0,1,,,,"{""episode/length"": 180.0, ""episode/score"": 1.0, ""step"": 15064}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,15564,frames,15564.0,3891.0,15564.0,15564.0,4,0.0,,0.0,0.0,1,,,,"{""episode/length"": 125.0, ""episode/score"": 0.0, ""step"": 15564}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,True,False,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,metrics_jsonl,episode/score,step,16324,frames,16324.0,4081.0,16324.0,16324.0,4,1.0,,1.0,1.0,1,,,,"{""episode/length"": 190.0, ""episode/score"": 1.0, ""step"": 16324}",pass,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
